inst_id,fiscal_year,revenue_tuition,revenue_subsidy,revenue_other,total_revenue,expense_personnel,expense_teaching,expense_facility,expense_rent,expense_admin,expense_other,total_expense,surplus,verified
K67A61067B3,2024,13974863.0,,4055022.0,18029885.0,8896657.0,2173986.0,264681.0,,277084.0,5366058.0,16978466.0,1051419.0,1
K81731FCDA3,2024,16276000.0,,2447188.0,18611616.0,10895768.0,2071807.0,245945.0,,303074.0,4777490.0,18294084.0,317532.0,1
KE2E8B37088,2024,13798616.0,,3978095.0,17776711.0,9406758.0,2332353.0,307587.0,,289414.0,4517804.0,16853016.0,922795.0,1
KF984F05B3B,2024,17667560.0,,2638483.0,20306043.0,11556371.0,2328743.0,253728.0,,329520.0,6132766.0,20601128.0,-295085.0,1
K557631E383,2024,21033709.0,,4531044.0,25564753.0,13308102.0,3125712.0,384610.0,,446172.0,4176135.0,21440731.0,4124022.0,1
KEF0B2D1C01,2024,11948984.0,,1293119.0,14142103.0,6659960.0,1454832.0,110431.0,,337196.0,4418429.0,13684798.0,457305.0,0
KF3442B4BCB,2024,12491808.0,,2210150.0,14701958.0,6584499.0,1567505.0,130707.0,,345563.0,4989750.0,14265648.0,436310.0,0
KBEC7666275,2024,13281768.0,,2430277.0,15712945.0,8617050.0,1864863.0,257063.0,,278343.0,5321427.0,16339646.0,-626701.0,1
K506842339C,2024,9492401.0,,2954486.0,12446887.0,5939032.0,1295328.0,97823.0,,193520.0,5379917.0,12880711.0,-433824.0,1
K4574C62080,2024,11772658.0,,3712720.0,21808378.0,8380317.0,1933553.0,215175.0,,262571.0,7173821.0,16607411.0,5200967.0,0
K67BABA0726,2024,9821514.0,,3446855.0,14434369.0,7742381.0,1764996.0,247198.0,,303340.0,3356285.0,13414200.0,1020169.0,0
KDD826D2227,2024,11350369.0,,3886634.0,15237003.0,28796.0,1651677.0,178375.0,,257140.0,6133673.0,16249661.0,-1012658.0,0
K6E947C0B9C,2024,24221648.0,,5953987.0,30175635.0,14347.0,1346608.0,421423.0,,413540.0,10009223.0,20190029.0,9085606.0,0
K39DA25503E,2024,28752847.0,,5207096.0,33959943.0,18850777.0,4276533.0,473452.0,,420651.0,8608680.0,32630093.0,1329850.0,1
KC0365E3036,2024,13296672.0,,1331694.0,14628366.0,7736019.0,2087112.0,273496.0,,286542.0,3832457.0,14215626.0,412740.0,1
KBD1D2CF7BD,2024,11297106.0,,2104312.0,13401418.0,7010982.0,1792145.0,188133.0,,233663.0,3773610.0,12998533.0,402885.0,1
KED39D6F381,2024,20801302.0,,1870046.0,22671348.0,14911253.0,2456259.0,372043.0,,303805.0,4464514.0,22507874.0,163474.0,1
K78C0A96435,2024,19181640.0,,3747307.0,22928947.0,13994993.0,2631207.0,377859.0,,355286.0,7731649.0,25090994.0,-2162047.0,1
KD6A7087AF1,2024,13452599.0,,2169961.0,15622560.0,8382581.0,2010563.0,222063.0,,282834.0,4724519.0,135622560.0,926600.0,0
KE64497C5B3,2024,22258366.0,,1320771.0,23579137.0,14384345.0,3104451.0,316658.0,,400237.0,2543359.0,20749050.0,2830087.0,1
K5ED8D8140E,2024,10809730.0,,1369310.0,12179040.0,7273300.0,1679255.0,293140.0,,108137.0,1339765.0,10793597.0,1385443.0,1
KADFAD6E665,2024,8665360.0,,1319945.0,9985305.0,5720932.0,1054204.0,250708.0,,185577.0,1341023.0,8552444.0,1432861.0,1
K0E4D879E24,2024,22348494.0,,2141698.0,24490192.0,15226479.0,2811643.0,311709.0,,463190.0,3463950.0,22276971.0,2213221.0,1
